City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs),Date
337,Severo-Kurilsk,50.68,156.12,23.5,96,100,37.63,RU,snow,0.0,3.06,2020-02-23 18:40:43
338,Dunedin,-45.87,170.5,57.99,81,94,3.11,NZ,overcast clouds,0.0,0.0,2020-02-23 18:50:14
339,Mabaruma,8.2,-59.78,81.48,88,53,3.76,GY,light rain,2.75,0.0,2020-02-23 18:50:23
340,Cervo,43.67,-7.41,52.0,91,0,1.01,ES,clear sky,0.0,0.0,2020-02-23 18:50:23
341,Boueni,-12.9,45.08,82.4,83,99,4.7,YT,light rain,0.31,0.0,2020-02-23 18:50:23
342,Raymond,43.9,-70.47,48.99,41,1,4.7,US,clear sky,0.0,0.0,2020-02-23 18:50:24
343,Portland,45.52,-122.68,48.99,66,75,20.8,US,light rain,0.0,0.0,2020-02-23 18:39:59
344,Puerto El Triunfo,13.28,-88.55,96.8,30,20,12.75,SV,smoke,0.0,0.0,2020-02-23 18:50:24
345,Moose Factory,51.26,-80.61,12.2,85,1,12.75,CA,clear sky,0.0,0.0,2020-02-23 18:49:22
346,Montrose,38.42,-108.27,46.99,55,75,10.29,US,light rain,0.0,0.0,2020-02-23 18:50:24
347,Grand-Santi,4.25,-54.38,93.58,44,78,4.0,GF,light rain,0.12,0.0,2020-02-23 18:50:25
348,Bambanglipuro,-7.95,110.28,76.17,81,34,2.77,ID,scattered clouds,0.0,0.0,2020-02-23 18:48:54
349,Bonavista,48.65,-53.11,35.01,79,61,13.0,CA,broken clouds,0.0,0.0,2020-02-23 18:50:25
350,Hanmer Springs,-42.52,172.82,47.7,66,48,3.18,NZ,scattered clouds,0.0,0.0,2020-02-23 18:50:25
351,Saint-Francois,46.42,3.91,57.0,62,40,2.24,FR,scattered clouds,0.0,0.0,2020-02-23 18:50:26
352,Vereshchagino,58.08,54.66,25.07,88,97,17.74,RU,overcast clouds,0.0,0.0,2020-02-23 18:50:26
353,Qaqortoq,60.72,-46.03,24.8,58,100,5.82,GL,light snow,0.0,1.0,2020-02-23 18:50:26
354,Christchurch,-43.53,172.63,60.01,82,42,13.87,NZ,scattered clouds,0.0,0.0,2020-02-23 18:49:55
355,Galesong,-5.32,119.37,78.8,94,20,2.24,ID,few clouds,0.0,0.0,2020-02-23 18:50:26
356,Tygda,53.12,126.33,6.55,96,100,2.19,RU,light snow,0.0,0.25,2020-02-23 18:50:27
357,Mbarara,-0.61,30.65,69.73,71,67,1.57,UG,light rain,0.13,0.0,2020-02-23 18:50:27
358,Arraial Do Cabo,-22.97,-42.03,80.6,69,75,11.41,BR,broken clouds,0.0,0.0,2020-02-23 18:40:41
359,Belen,36.49,36.22,55.99,87,75,8.05,TR,broken clouds,0.0,0.0,2020-02-23 18:50:27
360,Nyzhni Sirohozy,46.85,34.38,40.78,78,100,16.35,UA,overcast clouds,0.0,0.0,2020-02-23 18:50:28
361,Karratha,-20.74,116.85,81.64,77,7,15.28,AU,clear sky,0.0,0.0,2020-02-23 18:42:10
362,Chepo,9.17,-79.1,91.4,43,40,9.17,PA,scattered clouds,0.0,0.0,2020-02-23 18:50:28
363,Port Hardy,50.7,-127.42,41.0,86,75,24.16,CA,light intensity shower rain,0.0,0.0,2020-02-23 18:37:43
364,Geraldton,-28.77,114.6,73.4,88,0,2.24,AU,clear sky,0.0,0.0,2020-02-23 18:41:01
365,Mariakani,-3.86,39.47,82.4,83,20,6.93,KE,few clouds,0.0,0.0,2020-02-23 18:50:29
366,San Matias,-16.37,-58.4,70.14,83,100,3.15,BO,light rain,0.19,0.0,2020-02-23 18:50:29
367,Naryan-Mar,67.67,53.09,29.91,83,99,29.26,RU,overcast clouds,0.0,0.0,2020-02-23 18:49:22
368,Axim,4.87,-2.24,82.76,80,93,7.83,GH,light rain,0.88,0.0,2020-02-23 18:50:30
369,Voh,-20.97,164.7,76.87,78,100,9.8,NC,overcast clouds,0.0,0.0,2020-02-23 18:50:30
370,Mount Pleasant,32.79,-79.86,64.0,29,1,4.23,US,clear sky,0.0,0.0,2020-02-23 18:46:09
371,Chuguyevka,44.17,133.86,16.21,96,94,4.34,RU,light snow,0.0,0.38,2020-02-23 18:50:30
372,Osorheiu,47.03,22.05,50.0,61,100,23.04,RO,light rain,0.75,0.0,2020-02-23 18:50:31
373,Muscat,23.61,58.59,75.2,78,0,2.24,OM,clear sky,0.0,0.0,2020-02-23 18:49:53
374,Bahia Honda,22.9,-83.16,77.43,64,31,15.3,CU,light rain,0.63,0.0,2020-02-23 18:50:31
375,Whyalla,-33.03,137.58,68.0,72,83,5.82,AU,broken clouds,0.0,0.0,2020-02-23 18:50:31
376,Derzhavinsk,51.1,66.32,10.99,95,74,5.79,KZ,broken clouds,0.0,0.0,2020-02-23 18:50:31
377,Kununurra,-15.77,128.73,78.8,83,21,4.7,AU,few clouds,0.0,0.0,2020-02-23 18:40:36
378,Vanavara,60.34,102.28,14.13,95,97,6.98,RU,overcast clouds,0.0,0.0,2020-02-23 18:46:29
379,Rivarolo Canavese,45.33,7.72,54.0,66,89,1.12,IT,overcast clouds,0.0,0.0,2020-02-23 18:50:32
380,Trairi,-3.28,-39.27,83.08,70,94,4.32,BR,overcast clouds,0.0,0.0,2020-02-23 18:50:32
381,San Patricio,19.22,-104.7,84.2,74,5,11.41,MX,clear sky,0.0,0.0,2020-02-23 18:40:38
382,Kaffrine,14.11,-15.55,93.2,30,90,4.34,SN,overcast clouds,0.0,0.0,2020-02-23 18:50:33
383,Kagawasan,7.87,123.39,72.46,91,100,2.19,PH,overcast clouds,0.0,0.0,2020-02-23 18:50:33
384,Paredon,16.03,-93.87,81.07,64,0,16.75,MX,clear sky,0.0,0.0,2020-02-23 18:50:33
385,Gat,31.61,34.76,59.0,77,75,2.24,IL,broken clouds,0.0,0.0,2020-02-23 18:46:03
386,Buala,-8.14,159.59,80.01,84,19,5.95,SB,light rain,1.38,0.0,2020-02-23 18:50:34
387,Esperance,-33.87,121.9,66.2,88,75,8.05,AU,broken clouds,0.0,0.0,2020-02-23 18:41:00
388,Ibra,22.69,58.53,73.6,48,7,8.1,OM,clear sky,0.0,0.0,2020-02-23 18:50:34
389,Tucuman,-26.82,-65.22,77.0,57,75,5.82,AR,broken clouds,0.0,0.0,2020-02-23 18:49:03
390,Las Vegas,36.17,-115.14,59.0,54,1,8.05,US,clear sky,0.0,0.0,2020-02-23 18:48:59
391,East London,-33.02,27.91,66.2,68,20,3.36,ZA,few clouds,0.0,0.0,2020-02-23 18:40:54
392,Ginda,30.69,78.49,43.23,75,39,5.26,IN,scattered clouds,0.0,0.0,2020-02-23 18:50:35
393,Minab,27.15,57.08,68.0,94,26,2.24,IR,mist,0.0,0.0,2020-02-23 18:50:35
394,Alberton,46.82,-64.07,32.67,89,35,14.88,CA,scattered clouds,0.0,0.0,2020-02-23 18:50:35
395,Gizo,-8.1,156.84,77.25,90,54,5.26,SB,light rain,0.63,0.0,2020-02-23 18:50:36
396,Orbetello,42.44,11.22,53.6,81,42,6.93,IT,scattered clouds,0.0,0.0,2020-02-23 18:50:36
397,Chino Valley,34.76,-112.45,48.0,93,90,3.36,US,light intensity drizzle,0.0,0.0,2020-02-23 18:50:36
398,Osmena,10.52,119.93,79.9,79,0,22.79,PH,clear sky,0.0,0.0,2020-02-23 18:50:36
399,Birin,26.89,88.07,46.69,74,51,5.12,NP,light rain,0.13,0.0,2020-02-23 18:50:36
400,Kharagauli,42.02,43.2,44.6,93,90,2.24,GE,overcast clouds,0.0,0.0,2020-02-23 18:50:37
401,Adrar,20.5,-10.07,92.03,8,97,9.62,MR,overcast clouds,0.0,0.0,2020-02-23 18:50:37
402,Ialibu,-6.28,143.99,61.81,99,100,1.5,PG,heavy intensity rain,29.87,0.0,2020-02-23 18:50:37
403,Katherine,-14.47,132.27,82.4,78,90,8.05,AU,overcast clouds,0.0,0.0,2020-02-23 18:46:41
404,Labuan,5.28,115.24,80.6,88,75,10.29,MY,broken clouds,0.0,0.0,2020-02-23 18:50:38
405,Saldanha,-33.01,17.94,78.8,34,0,12.75,ZA,clear sky,0.0,0.0,2020-02-23 18:41:05
406,Kulhudhuffushi,6.62,73.07,82.22,77,85,9.19,MV,overcast clouds,0.0,0.0,2020-02-23 18:46:29
407,Jinji,23.23,110.83,65.39,72,48,1.83,CN,scattered clouds,0.0,0.0,2020-02-23 18:50:38
408,Alibag,18.64,72.88,80.6,47,0,1.41,IN,smoke,0.0,0.0,2020-02-23 18:50:39
409,Rio Gallegos,-51.62,-69.22,62.6,36,40,16.11,AR,scattered clouds,0.0,0.0,2020-02-23 18:48:03
410,Aban,56.67,96.06,8.37,96,47,0.87,RU,scattered clouds,0.0,0.0,2020-02-23 18:47:05
411,Maputo,-25.97,32.59,73.99,64,75,18.34,MZ,broken clouds,0.0,0.0,2020-02-23 18:50:39
412,Conde,-7.26,-34.91,87.8,66,43,11.41,BR,scattered clouds,0.0,0.0,2020-02-23 18:50:40
413,Dogondoutchi,13.64,4.03,86.86,8,0,9.93,NE,clear sky,0.0,0.0,2020-02-23 18:50:40
414,Bima,-8.47,118.72,72.14,97,100,1.81,ID,overcast clouds,0.0,0.0,2020-02-23 18:45:38
415,Tabuk,17.42,121.44,67.21,95,82,2.64,PH,light rain,0.12,0.0,2020-02-23 18:50:40
416,Redcliffe,-27.23,153.1,72.0,94,75,10.29,AU,light rain,0.0,0.0,2020-02-23 18:50:40
417,Luganville,-15.53,167.17,78.8,83,40,5.82,VU,scattered clouds,0.0,0.0,2020-02-23 18:50:41
418,Lagoa,39.05,-27.98,60.24,78,15,11.54,PT,few clouds,0.0,0.0,2020-02-23 18:40:58
419,Salinas,36.68,-121.66,57.99,66,75,4.7,US,broken clouds,0.0,0.0,2020-02-23 18:44:42
420,Tocopilla,-22.09,-70.2,73.71,47,5,14.97,CL,clear sky,0.0,0.0,2020-02-23 18:50:41
421,Saint-Augustin,51.23,-58.65,31.91,74,93,13.69,CA,light snow,0.0,0.25,2020-02-23 18:50:41
422,Puerto Suarez,-18.95,-57.8,87.8,55,75,5.82,BO,broken clouds,0.0,0.0,2020-02-23 18:50:42
423,Ochamchira,42.71,41.47,46.87,84,83,3.04,GE,broken clouds,0.0,0.0,2020-02-23 18:50:42
424,Pushkino,56.02,37.87,37.0,89,51,13.42,RU,broken clouds,0.0,0.0,2020-02-23 18:50:42
425,Jibuti,11.5,42.5,78.8,74,75,3.36,DJ,broken clouds,0.0,0.0,2020-02-23 18:48:49
426,Cairns,-16.92,145.77,78.8,94,75,6.93,AU,heavy intensity rain,0.0,0.0,2020-02-23 18:50:43
427,Storm Lake,42.64,-95.21,50.0,61,1,11.41,US,clear sky,0.0,0.0,2020-02-23 18:49:26
428,Edgewater,28.99,-80.9,78.01,60,20,11.41,US,few clouds,0.0,0.0,2020-02-23 18:50:43
429,Hobyo,5.35,48.53,77.76,72,57,16.64,SO,broken clouds,0.0,0.0,2020-02-23 18:41:21
430,Provideniya,64.38,-173.3,-9.76,73,0,2.24,RU,clear sky,0.0,0.0,2020-02-23 18:40:57
431,Bose,45.46,8.01,55.4,66,95,1.12,IT,overcast clouds,0.0,0.0,2020-02-23 18:50:44
432,Kabalo,-6.05,26.92,73.89,92,97,2.62,CD,light rain,1.88,0.0,2020-02-23 18:50:44
433,Bruiu,45.87,24.7,45.0,56,40,4.7,RO,scattered clouds,0.0,0.0,2020-02-23 18:50:44
434,Bemidji,47.47,-94.88,37.99,74,90,23.04,US,overcast clouds,0.0,0.0,2020-02-23 18:50:44
435,Puerto Leguizamo,-0.19,-74.78,83.25,70,100,7.07,CO,light rain,1.63,0.0,2020-02-23 18:50:45
436,Sibolga,1.74,98.78,72.27,84,0,3.4,ID,clear sky,0.0,0.0,2020-02-23 18:50:45
437,Valparaiso,-33.04,-71.63,66.2,68,20,4.7,CL,few clouds,0.0,0.0,2020-02-23 18:43:13
438,Mazagao,-0.12,-51.29,87.8,79,75,6.93,BR,broken clouds,0.0,0.0,2020-02-23 18:46:08
439,Hasaki,35.73,140.83,41.0,44,20,3.36,JP,few clouds,0.0,0.0,2020-02-23 18:40:57
440,Solnechnyy,50.72,136.63,1.42,89,24,1.3,RU,few clouds,0.0,0.0,2020-02-23 18:46:11
441,Muli,2.92,73.57,83.19,80,78,20.09,MV,light rain,0.5,0.0,2020-02-23 18:50:46
442,Garachine,8.06,-78.36,79.38,76,56,12.08,PA,broken clouds,0.0,0.0,2020-02-23 18:50:46
443,Luanda,-8.84,13.23,82.4,74,75,9.17,AO,broken clouds,0.0,0.0,2020-02-23 18:41:55
