City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Umm Lajj,SA,2020-02-21 06:50:36,25.02,37.27,67.82,25,0,4.83
70,Atuona,PF,2020-02-21 06:50:37,-9.8,-139.03,81.55,78,82,17.29
71,Pisco,PE,2020-02-21 06:50:37,-13.7,-76.22,73.4,83,100,4.7
72,Manono,CD,2020-02-21 06:50:37,-7.3,27.42,73.2,92,84,2.08
73,Vao,NC,2020-02-21 06:48:08,-22.67,167.48,80.31,69,35,11.74
74,Cidreira,BR,2020-02-21 06:48:11,-30.18,-50.21,69.76,70,96,19.64
75,Port-Cartier,CA,2020-02-21 06:50:38,50.03,-66.87,-20.2,75,5,2.24
76,Forio,IT,2020-02-21 06:50:38,40.73,13.86,50.0,60,0,3.36
77,Mataura,NZ,2020-02-21 06:47:24,-46.19,168.86,59.0,76,73,18.99
78,Tripoli,LY,2020-02-21 06:50:39,32.88,13.19,58.71,68,93,11.56
79,Arcoverde,BR,2020-02-21 06:50:39,-8.42,-37.05,69.44,93,100,1.74
80,Nikolskoye,RU,2020-02-21 06:50:39,59.7,30.79,35.01,86,20,8.95
81,Dikson,RU,2020-02-21 06:50:39,73.51,80.55,-5.53,88,6,19.42
82,San Juan,AR,2020-02-21 06:50:40,-31.54,-68.54,68.5,21,0,13.62
83,Korla,CN,2020-02-21 06:50:40,41.76,86.15,30.81,39,56,4.43
84,Alice Springs,AU,2020-02-21 06:50:40,-23.7,133.88,93.2,14,0,16.11
85,Thompson,CA,2020-02-21 06:50:41,55.74,-97.86,23.0,73,20,9.17
86,Hirara,JP,2020-02-21 06:48:05,24.8,125.28,75.2,73,40,12.75
87,Mitsamiouli,KM,2020-02-21 06:50:41,-11.38,43.28,86.0,79,20,8.68
88,Pochutla,MX,2020-02-21 06:50:41,15.74,-96.47,75.0,79,17,4.36
89,Arraial Do Cabo,BR,2020-02-21 06:50:06,-22.97,-42.03,76.32,92,1,13.42
90,Kindu,CD,2020-02-21 06:50:42,-2.95,25.95,75.24,85,98,2.3
91,Ariquemes,BR,2020-02-21 06:50:42,-9.91,-63.04,73.89,99,100,2.62
92,Progreso,MX,2020-02-21 06:50:42,21.28,-89.67,77.0,83,40,4.7
93,Shushtar,IR,2020-02-21 06:47:04,32.05,48.86,62.62,50,0,2.93
94,Rawson,AR,2020-02-21 06:48:42,-43.3,-65.1,56.39,72,0,17.02
95,Zabid,YE,2020-02-21 06:50:43,14.2,43.32,76.33,71,82,4.9
96,Bull Savanna,JM,2020-02-21 06:50:44,17.89,-77.59,68.02,94,7,2.26
97,Chabahar,IR,2020-02-21 06:50:44,25.29,60.64,75.56,39,100,7.9
98,Arvika,SE,2020-02-21 06:50:44,59.66,12.59,35.6,86,80,13.87
99,Tianpeng,CN,2020-02-21 06:50:44,30.99,103.94,64.99,38,20,2.24
100,Santa Maria,BR,2020-02-21 06:50:45,-29.68,-53.81,55.49,83,2,4.41
101,Launceston,AU,2020-02-21 06:47:51,-41.45,147.17,64.99,34,75,8.05
102,Severo-Yeniseyskiy,RU,2020-02-21 06:50:45,60.37,93.04,23.4,90,87,5.57
103,Manaure,CO,2020-02-21 06:50:45,11.78,-72.44,77.07,84,99,13.6
104,Shrigonda,IN,2020-02-21 06:50:46,18.62,74.68,87.19,25,0,8.21
105,Leningradskiy,RU,2020-02-21 06:47:40,69.38,178.42,-7.22,93,100,21.36
106,Sangar,RU,2020-02-21 06:50:46,63.92,127.47,-7.56,92,100,13.27
107,Maningrida,AU,2020-02-21 06:50:47,-12.07,134.27,86.67,75,100,8.43
108,Kamien Pomorski,PL,2020-02-21 06:50:47,53.97,14.77,39.2,86,90,14.99
109,Altay,CN,2020-02-21 06:50:47,47.87,88.12,18.25,65,27,3.56
110,Antalaha,MG,2020-02-21 06:50:47,-14.9,50.28,81.18,72,94,6.31
111,Nosivka,UA,2020-02-21 06:50:48,50.93,31.58,33.73,92,17,4.94
112,Manokwari,ID,2020-02-21 06:50:48,-0.87,134.08,79.84,76,83,9.62
113,Esperance,AU,2020-02-21 06:50:48,-33.87,121.9,80.6,32,0,11.41
114,Iquique,CL,2020-02-21 06:50:49,-20.22,-70.14,69.8,83,75,6.93
115,Yar-Sale,RU,2020-02-21 06:50:49,66.83,70.83,12.9,90,94,17.11
116,Mayo,US,2020-02-21 06:50:49,38.89,-76.51,33.01,55,40,12.75
117,Narsaq,GL,2020-02-21 06:48:13,60.92,-46.05,28.4,33,100,9.17
118,Georgetown,MY,2020-02-21 06:46:49,5.41,100.34,95.0,44,20,19.46
119,Tiksi,RU,2020-02-21 06:47:37,71.69,128.87,-0.8,86,100,12.03
120,Laguna,US,2020-02-21 06:50:51,38.42,-121.42,54.0,57,1,4.7
121,Mogadishu,SO,2020-02-21 06:50:51,2.04,45.34,86.0,66,75,12.75
122,Fairbanks,US,2020-02-21 06:50:27,64.84,-147.72,15.01,85,75,3.36
123,Beringovskiy,RU,2020-02-21 06:47:53,63.05,179.32,-15.65,86,0,2.8
124,Lar,IN,2020-02-21 06:50:52,26.2,83.97,79.14,37,0,10.63
125,Lebu,CL,2020-02-21 06:50:52,-37.62,-73.65,59.83,35,0,2.91
126,Mount Gambier,AU,2020-02-21 06:48:06,-37.83,140.77,68.0,52,40,12.75
127,Hovd,MN,2020-02-21 06:50:53,48.01,91.64,11.01,57,0,4.72
128,Alofi,NU,2020-02-21 06:48:30,-19.06,-169.92,78.8,94,75,3.36
129,Upernavik,GL,2020-02-21 06:50:53,72.79,-56.15,-17.86,99,95,0.78
130,Mezen,RU,2020-02-21 06:50:54,65.85,44.24,10.56,90,49,14.03
131,Portmore,JM,2020-02-21 06:50:54,17.97,-76.87,78.8,74,20,6.93
132,Sitka,US,2020-02-21 06:47:41,57.05,-135.33,39.2,86,90,12.75
133,Hirna,ET,2020-02-21 06:50:54,9.22,41.1,68.13,51,38,3.67
134,Castro,BR,2020-02-21 06:50:55,-24.79,-50.01,66.92,94,35,4.03
135,Abu Kamal,SY,2020-02-21 06:50:55,34.45,40.92,53.83,68,6,0.83
136,Serenje,ZM,2020-02-21 06:50:55,-13.23,30.24,69.01,91,86,3.71
137,Port Blair,IN,2020-02-21 06:50:56,11.67,92.75,81.75,74,27,16.13
138,Sawakin,SD,2020-02-21 06:50:56,19.11,37.33,69.75,70,83,15.1
139,Mildura,AU,2020-02-21 06:50:56,-34.2,142.15,81.0,22,0,11.41
140,Ixtapa,MX,2020-02-21 06:50:56,20.7,-105.2,73.0,94,5,4.7
141,East London,ZA,2020-02-21 06:48:52,-33.02,27.91,71.6,83,75,3.36
142,Urengoy,RU,2020-02-21 06:50:57,65.97,78.37,27.97,96,100,9.57
143,Wenling,CN,2020-02-21 06:50:57,28.37,121.36,75.99,48,0,1.01
144,Healdsburg,US,2020-02-21 06:50:57,38.61,-122.87,51.01,100,1,3.36
145,Cherskiy,RU,2020-02-21 06:48:01,68.75,161.3,-15.81,98,96,3.94
146,Nanortalik,GL,2020-02-21 06:50:58,60.14,-45.24,26.49,69,100,1.95
