City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
436,Sibolga,ID,72.27,clear sky,1.74,98.78,Hotel Syariah CN Darussalam
438,Mazagao,BR,87.8,broken clouds,-0.12,-51.29,Casa Lima Santos
441,Muli,MV,83.19,light rain,2.92,73.57,Medhufushi Island Resort
442,Garachine,PA,79.38,broken clouds,8.06,-78.36,
443,Luanda,AO,82.4,broken clouds,-8.84,13.23,EPIC SANA Luanda
444,Rodrigues Alves,BR,82.4,broken clouds,-7.74,-72.65,Hotel José Pereira
445,Estreito,BR,89.89,broken clouds,-5.78,-43.25,
446,Simplicio Mendes,BR,85.35,light rain,-7.85,-41.91,Fidalgo
451,Thamaga,BW,73.4,scattered clouds,-24.67,25.54,The Signature Hotel
457,Laredo,US,75.2,broken clouds,27.51,-99.51,La Quinta Inn by Wyndham Laredo I-35
460,Jatai,BR,80.22,moderate rain,-17.88,-51.71,La Vitre Hotel
462,Kahului,US,73.4,few clouds,20.89,-156.47,Maui Seaside Hotel
464,Tessaoua,NE,81.37,few clouds,13.76,7.99,
465,Gambela,ET,85.6,scattered clouds,8.25,34.58,Solomon Debebe Hotel
466,Richards Bay,ZA,74.25,light rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
467,Bukene,TZ,70.29,light rain,-4.23,32.88,
469,Samarai,PG,77.07,light rain,-10.62,150.67,Nuli Sapi
473,Malpe,IN,80.6,overcast clouds,13.35,74.72,Hotel Sri Krishna Residency
474,Akyab,MM,71.28,clear sky,20.15,92.9,Hotel Memory
476,Mangai,CD,77.95,overcast clouds,-4.05,19.53,
477,Acarau,BR,85.75,light rain,-2.89,-40.12,castelo pizzaria
478,Maceio,BR,87.8,few clouds,-9.67,-35.74,Mercure Maceió
479,Sinnamary,GF,79.25,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
480,Las Palmas,ES,71.6,haze,28.42,-14.01,Villa 54
482,Pyay,MM,72.32,clear sky,18.82,95.22,Shwe Pyi Thar
485,Chicama,PE,73.4,haze,-7.84,-79.15,Hotel Las Aldas
486,Los Llanos De Aridane,ES,73.4,haze,28.66,-17.92,Valle Aridane
489,Manzanillo,CU,86.99,clear sky,20.34,-77.12,Adrian & Tonia
490,Takoradi,GH,82.76,light rain,4.88,-1.76,Raybow International Hotel
491,Cap Malheureux,MU,77.0,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
493,Mahibadhoo,MV,83.32,broken clouds,3.78,72.97,Omadhoo Inn
494,Ikom,NG,88.81,clear sky,5.97,8.71,Reho Farm & Resort
496,Tondano,ID,75.2,scattered clouds,1.3,124.91,Villa Bella
500,Maraa,BR,84.72,moderate rain,-1.83,-65.37,
501,Acari,PE,78.08,broken clouds,-15.43,-74.62,Hospedaje Ximens
503,Gweta,BW,76.68,light rain,-20.18,25.23,Gweta Lodge
504,Sabang,ID,83.44,clear sky,5.89,95.32,Hotel Citra
507,San Felipe,VE,86.5,overcast clouds,10.34,-68.74,Posada Llovizna Rodríguez
508,San Pedro,PH,77.0,broken clouds,14.35,121.02,The Viewfort Venue
509,Birao,CF,81.73,few clouds,10.28,22.79,
514,Paramonga,PE,73.99,few clouds,-10.67,-77.83,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
519,Celestun,MX,72.41,clear sky,20.87,-90.4,Posada Lilia
520,Sao Borja,BR,84.34,few clouds,-28.66,-56.0,Hotel Executivo
522,Kyabe,TD,88.63,clear sky,9.45,18.94,
524,Ratnagiri,IN,70.38,clear sky,16.98,73.3,Hotel Landmark
528,Mount Isa,AU,80.6,scattered clouds,-20.73,139.5,ibis Styles Mt Isa Verona
529,Ca Mau,VN,75.45,clear sky,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
532,Sandakan,MY,78.8,few clouds,5.84,118.12,Hotel Sandakan
536,The Valley,AI,86.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
537,Kovur,IN,74.14,overcast clouds,14.48,79.98,Pleasant Stay
540,Panguna,PG,70.47,light rain,-6.32,155.48,
542,Brejo Da Madre De Deus,BR,88.65,broken clouds,-8.15,-36.37,Pousada e Restaurante do Sossego
544,Waingapu,ID,83.37,overcast clouds,-9.66,120.26,Pondok Wisata Elim
546,Tahoua,NE,89.6,dust,14.89,5.27,Bungalows Guesthouse
548,Guarapari,BR,78.8,overcast clouds,-20.67,-40.5,Hotel Porto do Sol
550,Rio Bravo,MX,81.0,overcast clouds,25.98,-98.1,Hotel Fiesta Brava Inn
553,Chacabuco,AR,75.0,scattered clouds,-34.64,-60.47,Las Moras Multiespacio
554,Dhidhdhoo,MV,82.22,scattered clouds,6.88,73.1,Dhidhoo beach
555,Manono,CD,73.58,light rain,-7.3,27.42,Hotel hewa bora
